,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
103462,103463,Twelfth Night,107.0,1.5.246,VIOLA,"With such a suffering, such a deadly life,"
103463,103464,Twelfth Night,107.0,1.5.247,VIOLA,"In your denial I would find no sense,"
103464,103465,Twelfth Night,107.0,1.5.248,VIOLA,I would not understand it.
103465,103466,Twelfth Night,108.0,1.5.249,OLIVIA,"Why, what would you?"
103466,103467,Twelfth Night,109.0,1.5.250,VIOLA,"Make me a willow cabin at your gate,"
103467,103468,Twelfth Night,109.0,1.5.251,VIOLA,"And call upon my soul within the house,"
103468,103469,Twelfth Night,109.0,1.5.252,VIOLA,Write loyal cantons of contemned love
103469,103470,Twelfth Night,109.0,1.5.253,VIOLA,"And sing them loud even in the dead of night,"
103470,103471,Twelfth Night,109.0,1.5.254,VIOLA,Halloo your name to the reverberate hills
103471,103472,Twelfth Night,109.0,1.5.255,VIOLA,And make the babbling gossip of the air
103472,103473,Twelfth Night,109.0,1.5.256,VIOLA,"Cry out 'Olivia!' O, You should not rest"
103473,103474,Twelfth Night,109.0,1.5.257,VIOLA,"Between the elements of air and earth,"
103474,103475,Twelfth Night,109.0,1.5.258,VIOLA,But you should pity me!
103475,103476,Twelfth Night,110.0,1.5.259,OLIVIA,You might do much.
103476,103477,Twelfth Night,110.0,1.5.260,OLIVIA,What is your parentage?
103477,103478,Twelfth Night,111.0,1.5.261,VIOLA,"Above my fortunes, yet my state is well:"
103478,103479,Twelfth Night,111.0,1.5.262,VIOLA,I am a gentleman.
103479,103480,Twelfth Night,112.0,1.5.263,OLIVIA,"Get you to your lord,"
103480,103481,Twelfth Night,112.0,1.5.264,OLIVIA,"I cannot love him: let him send no more,"
103481,103482,Twelfth Night,112.0,1.5.265,OLIVIA,"Unless, perchance, you come to me again,"
103482,103483,Twelfth Night,112.0,1.5.266,OLIVIA,To tell me how he takes it. Fare you well:
103483,103484,Twelfth Night,112.0,1.5.267,OLIVIA,I thank you for your pains: spend this for me.
103484,103485,Twelfth Night,113.0,1.5.268,VIOLA,"I am no fee'd post, lady, keep your purse:"
103485,103486,Twelfth Night,113.0,1.5.269,VIOLA,"My master, not myself, lacks recompense."
103486,103487,Twelfth Night,113.0,1.5.270,VIOLA,"Love make his heart of flint that you shall love,"
103487,103488,Twelfth Night,113.0,1.5.271,VIOLA,"And let your fervor, like my master's, be"
103488,103489,Twelfth Night,113.0,1.5.272,VIOLA,"Placed in contempt! Farewell, fair cruelty."
103489,103490,Twelfth Night,113.0,,VIOLA,Exit
103490,103491,Twelfth Night,114.0,1.5.273,OLIVIA,'What is your parentage?'
103491,103492,Twelfth Night,114.0,1.5.274,OLIVIA,"'Above my fortunes, yet my state is well:"
103492,103493,Twelfth Night,114.0,1.5.275,OLIVIA,"I am a gentleman.' I'll be sworn thou art,"
103493,103494,Twelfth Night,114.0,1.5.276,OLIVIA,"Thy tongue, thy face, thy limbs, actions and spirit,"
103494,103495,Twelfth Night,114.0,1.5.277,OLIVIA,Do give thee five-fold blazon: not too fast:
103495,103496,Twelfth Night,114.0,1.5.278,OLIVIA,"soft, soft!"
103496,103497,Twelfth Night,114.0,1.5.279,OLIVIA,Unless the master were the man. How now!
103497,103498,Twelfth Night,114.0,1.5.280,OLIVIA,Even so quickly may one catch the plague?
103498,103499,Twelfth Night,114.0,1.5.281,OLIVIA,Methinks I feel this youth's perfections
103499,103500,Twelfth Night,114.0,1.5.282,OLIVIA,With an invisible and subtle stealth
103500,103501,Twelfth Night,114.0,1.5.283,OLIVIA,"To creep in at mine eyes. Well, let it be."
103501,103502,Twelfth Night,114.0,1.5.284,OLIVIA,"What ho, Malvolio!"
103502,103503,Twelfth Night,114.0,,OLIVIA,Re-enter MALVOLIO
103503,103504,Twelfth Night,115.0,1.5.285,MALVOLIO,"Here, madam, at your service."
103504,103505,Twelfth Night,116.0,1.5.286,OLIVIA,"Run after that same peevish messenger,"
103505,103506,Twelfth Night,116.0,1.5.287,OLIVIA,"The county's man: he left this ring behind him,"
103506,103507,Twelfth Night,116.0,1.5.288,OLIVIA,Would I or not: tell him I'll none of it.
103507,103508,Twelfth Night,116.0,1.5.289,OLIVIA,"Desire him not to flatter with his lord,"
103508,103509,Twelfth Night,116.0,1.5.290,OLIVIA,"Nor hold him up with hopes, I am not for him:"
103509,103510,Twelfth Night,116.0,1.5.291,OLIVIA,"If that the youth will come this way to-morrow,"
103510,103511,Twelfth Night,116.0,1.5.292,OLIVIA,"I'll give him reasons for't: hie thee, Malvolio."
103511,103512,Twelfth Night,117.0,1.5.293,MALVOLIO,"Madam, I will."
103512,103513,Twelfth Night,117.0,,MALVOLIO,Exit
103513,103514,Twelfth Night,118.0,1.5.294,OLIVIA,"I do I know not what, and fear to find"
103514,103515,Twelfth Night,118.0,1.5.295,OLIVIA,Mine eye too great a flatterer for my mind.
103515,103516,Twelfth Night,118.0,1.5.296,OLIVIA,"Fate, show thy force: ourselves we do not owe,"
103516,103517,Twelfth Night,118.0,1.5.297,OLIVIA,"What is decreed must be, and be this so."
103517,103518,Twelfth Night,118.0,,OLIVIA,Exit
103518,103519,Twelfth Night,118.0,,OLIVIA,ACT II
103519,103520,Twelfth Night,118.0,,OLIVIA,SCENE I. The sea-coast.
103520,103521,Twelfth Night,118.0,,OLIVIA,Enter ANTONIO and SEBASTIAN
103521,103522,Twelfth Night,1.0,2.1.1,ANTONIO,Will you stay no longer? nor will you not that I go with you?
103522,103523,Twelfth Night,2.0,2.1.2,SEBASTIAN,"By your patience, no. My stars shine darkly over"
103523,103524,Twelfth Night,2.0,2.1.3,SEBASTIAN,me: the malignancy of my fate might perhaps
103524,103525,Twelfth Night,2.0,2.1.4,SEBASTIAN,"distemper yours, therefore I shall crave of you your"
103525,103526,Twelfth Night,2.0,2.1.5,SEBASTIAN,leave that I may bear my evils alone: it were a bad
103526,103527,Twelfth Night,2.0,2.1.6,SEBASTIAN,"recompense for your love, to lay any of them on you."
103527,103528,Twelfth Night,2.0,2.1.7,SEBASTIAN,ANTONIO: Let me yet know of you whither you are bound.
103528,103529,Twelfth Night,3.0,2.1.8,SEBASTIAN,"No, sooth, sir: my determinate voyage is mere"
103529,103530,Twelfth Night,3.0,2.1.9,SEBASTIAN,extravagancy. But I perceive in you so excellent a
103530,103531,Twelfth Night,3.0,2.1.10,SEBASTIAN,"touch of modesty, that you will not extort from me"
103531,103532,Twelfth Night,3.0,2.1.11,SEBASTIAN,"what I am willing to keep in, therefore it charges"
103532,103533,Twelfth Night,3.0,2.1.12,SEBASTIAN,me in manners the rather to express myself. You
103533,103534,Twelfth Night,3.0,2.1.13,SEBASTIAN,"must know of me then, Antonio, my name is Sebastian,"
103534,103535,Twelfth Night,3.0,2.1.14,SEBASTIAN,which I called Roderigo. My father was that
103535,103536,Twelfth Night,3.0,2.1.15,SEBASTIAN,"Sebastian of Messaline, whom I know you have heard"
103536,103537,Twelfth Night,3.0,2.1.16,SEBASTIAN,"of. He left behind him myself and a sister, both"
103537,103538,Twelfth Night,3.0,2.1.17,SEBASTIAN,"born in an hour: if the heavens had been pleased,"
103538,103539,Twelfth Night,3.0,2.1.18,SEBASTIAN,"would we had so ended! but you, sir, altered that,"
103539,103540,Twelfth Night,3.0,2.1.19,SEBASTIAN,for some hour before you took me from the breach of
103540,103541,Twelfth Night,3.0,2.1.20,SEBASTIAN,the sea was my sister drowned.
103541,103542,Twelfth Night,4.0,2.1.21,ANTONIO,Alas the day!
103542,103543,Twelfth Night,5.0,2.1.22,SEBASTIAN,"A lady, sir, though it was said she much resembled"
103543,103544,Twelfth Night,5.0,2.1.23,SEBASTIAN,"me, was yet of many accounted beautiful: but,"
103544,103545,Twelfth Night,5.0,2.1.24,SEBASTIAN,though I could not with such estimable wonder
